ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
8864,Tangmere Nursery,491200,106520,Tangmere Produce Ltd,"Agriculture, forestry & fishing",667.788,England,50.85101886685971,-0.7058209870126956
43186,Chichester Food Factory,485410,104240,Babynov Chichester Ltd,"Food, drink & tobacco industry",652.9090909,England,50.83140340234135,-0.7885817573850344
11970,Ellesmere Port Boiler House,339367,378256,Saica Pack UK Ltd,"Paper, printing & publishing industries",651.4808618,England,53.297772210223165,-2.9111980510730455
14662,London,533089,180904,20 Fenchurch Street Ltd Partnership,Commercial,621.61305,England,51.51139625667534,-0.08353326657823038
13463,Isleworth,516226,177804,British Sky Broadcasting Group plc,Commercial,620.2515245,England,51.48725167155106,-0.32743575179019363
40504,The 100 Bishopsgate Partnership,533209,181388,Brookfield Properties (UK PM) Ltd,Commercial,617.5918636,England,51.5157174218886,-0.0816223425305577
8879,Stansted Airport,555700,223700,Stansted Airport Ltd,Commercial,613.1155282,England,51.89011187621781,0.2611390316029119
14860,"Spectrum Business Park, Wrexham",338067,349310,Cott Beverages,"Food, drink & tobacco industry",583.5654545,Wales,53.03746277444051,-2.9250866975479046
13579,Deeside Industrial Park,331790,371520,Farmers Boy (Deeside) Ltd,"Food, drink & tobacco industry",581.3659091,Wales,53.23631084077808,-3.023417475237822
12011,Llanybydder,252680,244410,Dunbia (Wales) Ltd,"Food, drink & tobacco industry",561.4767404,Wales,52.07839376840401,-4.1511711632322035
7752,Sawley,379820,447160,Rose County Foods Ltd,"Food, drink & tobacco industry",553.5,England,53.92018252995977,-2.3087488533819114
1132,Stevenage,523570,223470,Glaxosmithkline Research & Development Ltd,Commercial,538.3838855,England,51.8960872447779,-0.20555912535842233
9102,Wrexham,338900,350800,Kellogg Co of Great Britain Ltd,"Food, drink & tobacco industry",508.4030591,Wales,53.05095080280089,-2.912948509287994
43076,Balby-B,457947,401053,Walker & Son (Hauliers) Ltd,Commercial,507.3057682,England,53.50298693295912,-1.1278399904861982
9691,Baltic Works,338969,730109,Halley Stevensons Ltd,"Textiles, clothing, leather & footwear",487.7533636,Scotland,56.45915968576864,-2.991930063839267
14218,"Media Village Primary Plant, Shepherd's Bush",523200,180900,Interserve (Facilities Management) Ltd,Commercial,466.3702145,England,51.51360106449278,-0.2259622143707754
