PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
8919,Denton Brickworks,391400,394800,Wienerberger Ltd,Other mineral industries,5049.534595,England
8464,Ravenhead Brickworks,350850,404770,Ibstock Brick Ltd,Other mineral industries,5009.903302,England
9842,Thornton-Cleveleys,334570,442780,Asahi Glass Fluropolymers UK Ltd,Other mineral industries,4966.936091,England
13759,Tunstall,385500,350700,Norcros Group (Holdings) Ltd,Other mineral industries,4946.746694,England
14188,Bardon Hill,444800,312876,Aggregate Industries UK Ltd,Other mineral industries,4857.415435,England
40652,Austerfield Works,466000,394600,Bawtry Carbon Ltd,Other mineral industries,4776,England
13266,Hull,509400,431700,Croda Europe Ltd,Chemical industry,4765.02096,England
8921,Sandown Brickworks,404500,301600,Wienerberger Ltd,Other mineral industries,4686.780305,England
11100,Kingsbury Factory,421810,299060,Wienerberger Ltd,Other mineral industries,4666.6608,England
8132,Ware,534780,214500,GlaxoSmithKline Plc,Chemical industry,4662.304781,England
8466,South Holmwood Brickworks,518290,142380,Ibstock Brick Ltd,Other mineral industries,4661.738332,England
11672,Bank Quay,359745,388264,PQ Silicas UK Ltd,Chemical industry,4590.081199,England
13360,Hythe,443600,106050,Geo Specialty Chemicals UK Ltd,Chemical industry,4588.363636,England
8482,Royston,534850,241400,Johnson Matthey Plc,Chemical industry,4493.784128,England
8458,Laybrook Brickworks,511360,118850,Ibstock Brick Ltd,Other mineral industries,4423.348413,England
7385,Uddingston,267200,662100,SMW Ltd,Other fuel production,4403.90475,Scotland
8455,Ellistown Brickworks,443560,310330,Ibstock Brick Ltd,Other mineral industries,4399.314619,England
14958,Claughton,356173,466379,Forterra Building Products Ltd,Other mineral industries,4386.930646,England
13699,Sheffield,438634,389821,Sheffield Forgemasters Engineering Ltd,Iron & steel industries,4362.006153,England
9607,Cramlington,426000,574300,Shasun Pharma Solutions Ltd,Chemical industry,4357.201773,England
8414,Southampton,441600,111800,Southampton Geothermal Heating Co,Other mineral industries,4287.306496,England
13757,Maltby Energy Park,454943,392249,Regent Park Energy Ltd,Other fuel production,4266.229636,England
40507,Keele Works,378700,345550,Marley Ltd,Other mineral industries,4184.41722,England
13696,Widnes,353598,386814,Innospec Widnes Ltd,Chemical industry,4153.276222,England
10817,Queenborough,590590,172660,Aesica Queenborough Ltd,Chemical industry,4139.879182,England
8321,Grimethorpe,441100,408900,Carlton Main Brickworks Ltd,Other mineral industries,4103.687765,England
9332,Thornton-Cleveleys,334570,442780,Victrex Manufacturing Ltd,Chemical industry,3962.429141,England
8453,Chesterton Brickworks,382890,349530,Ibstock Brick Ltd,Other mineral industries,3918.373565,England
10163,Immingham Briquetting Works,518800,416000,Coal Products Ltd,Other fuel production,3837.545455,England
8448,Ashdown Brickworks,572160,109300,Ibstock Brick Ltd,Other mineral industries,3786.413498,England
13451,Norwich,620521,310256,Briar Chemicals Ltd,Chemical industry,3765.87219,England
8699,Barnard Castle,405400,517600,Glaxo Operations UK Ltd,Chemical industry,3685.598471,England
13229,Cambuslang,264100,661850,Norit (UK) Ltd,Chemical industry,3653.053636,Scotland
