ï»¿PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region,Latitude,Longitude
13670,Ipswich Asphalt,616800,242400,Lafarge Tarmac Trading Ltd,Other mineral industries,959.8469045,England,52.037594076606425,1.159554902988689
14247,Duntilland,284530,663481,Aggregate Industries UK Ltd,Other mineral industries,938.0699836,Scotland,55.85066027249879,-3.845965102438773
14190,Greenwich,540265,178577,Aggregate Industries UK Ltd,Other mineral industries,925.2887073,England,51.488751895274966,0.018883775930717942
13697,Peterlee,441356,541318,Momentive Specialty Chemicals UK Ltd,Chemical industry,923.5194545,England,54.7650974667607,-1.3587813713134116
13684,Wigan,359465,399335,Hanson Quarry Products Europe Ltd,Other mineral industries,917.2241291,England,53.48915435431358,-2.6123858696535125
14435,Croft,451002,296026,Aggregate Industries UK Ltd,Other mineral industries,907.1964245,England,52.55968763636203,-1.2491076379941564
13652,Salford Coating Plant,382080,398300,CEMEX UK Operations Ltd,Other mineral industries,903.2100518,England,53.48111246649353,-2.2714945576665784
8642,York,452300,466300,York Handmade Brick Co Ltd,Other mineral industries,878.0962935,England,54.08995864482556,-1.2019143805843875
13663,Hothfield Asphalt,598000,146400,Lafarge Tarmac Trading Ltd,Other mineral industries,812.5187209,England,51.18253208091816,0.8316467897794951
13667,Stancombe Asphalt,350200,168800,Lafarge Tarmac Trading Ltd,Other mineral industries,810.4328373,England,51.41601735374452,-2.7175042442499713
13265,Ditton,349146,384143,Croda Europe Ltd,Chemical industry,781.53966,England,53.35171463666145,-2.765436389081331
12094,Middlewich,370960,365840,BIP Organics Ltd,Chemical industry,778.6363636,England,53.188850777378235,-2.436063472560563
14020,Penderyn Plant,295220,209064,Hanson Quarry Products Europe Ltd,Other mineral industries,772.3438855,Wales,51.77041186273117,-3.51992349638115
14678,Agecroft Asphalt,380581,400989,Tarmac Trading Ltd,Other mineral industries,739.9557955,England,53.50522850416379,-2.294249239058147
13641,Dudley Site,393010,288320,Acenta Steel Ltd,Iron & steel industries,733.2337975,England,52.492744631401834,-2.1043802836090637
14017,Pant Asphalt,320130,370340,Lafarge Tarmac Trading Ltd,Other mineral industries,731.3419118,Wales,53.22407835733874,-3.197779040462609
13702,Haughmond Hill Asphalt,353700,314800,Aggregate Industries UK Ltd,Other mineral industries,716.7867055,England,52.72884808744451,-2.687043000228855
8420,River Don,438200,390100,Sheffield Forgemasters Engineering Ltd,Iron & steel industries,688.6752082,England,53.406341733034836,-1.4268584243979854
13665,Parkstone Asphalt,403800,93800,Lafarge Tarmac Trading Ltd,Other mineral industries,675.5311909,England,50.74379486000788,-1.9475083110433082
40253,Saltend Chemicals Park,516042,427832,Saltend Chemicals Park Ltd,Chemical industry,669.2245555,England,53.733976243525795,-0.24234983949612035
40720,Wickwar Asphalt,371659,189893,Breedon Southern Ltd,Other mineral industries,666.1034018,England,51.6071523738103,-2.4106419302511077
40273,Grimsby Power Station,525651,411242,RWE Generation UK plc,Chemical industry,653.2391564,England,53.58272064572634,-0.10347060751757027
14211,Ardingly,534039,127690,Hanson Quarry Products Europe Ltd,Other mineral industries,641.5377464,England,51.032950296043,-0.08978867958259351
14438,Chryston Asphalt Plant,268892,671094,Aggregate Industries UK Ltd,Other mineral industries,627.7861364,Scotland,55.915016835681946,-4.09926054850631
13695,Leinthall Quarry,344246,267827,Breedon Aggregates England Ltd,Other mineral industries,618.7313455,England,52.30571520938749,-2.8191290734542576
12069,Hafod Quarry,322200,196400,Lafarge Aggregates Ltd,Other mineral industries,597.8566364,Wales,51.66097582967224,-3.1261802283583515
