PlantID,Site,Easting,Northing,Operator,Sector, Emission ,Region
40171,Burton Latimer,489470,275700,Alpro (UK) Ltd,"Food, drink & tobacco industry",3173.239909,England
9519,Wakefield,431600,424800,Coca-Cola Enterprises Ltd,"Food, drink & tobacco industry",3170.545091,England
40528,Chesterfield Paper Mill,437275,370675,Northwood Tissue (Chesterfield) Ltd,"Paper, printing & publishing industries",3163.649476,England
40533,Roseisle Complex,312265,865505,Diageo Scotland Ltd,"Food, drink & tobacco industry",3125.256627,Scotland
13070,Sheffield,433900,390100,Kraft Foods UK Ltd,"Food, drink & tobacco industry",3035.237174,England
13069,Marlbrook,351250,253650,Kraft Foods UK Ltd,"Food, drink & tobacco industry",3025.710974,England
2719,Dumfries,298900,578700,Gates Power Transmission Ltd,Electrical engineering,3016.250455,Scotland
40532,Burghead Maltings,311310,868949,Diageo Scotland Ltd,"Food, drink & tobacco industry",2977.605595,Scotland
11108,Ambrosia Creamery,239560,84980,Premier Foods Group Ltd,"Food, drink & tobacco industry",2923.599963,England
40361,Station Road Site,605150,294939,Banham Poultry (2018) Ltd,"Food, drink & tobacco industry",2905.909091,England
8369,Stretford,378800,395500,Kellogg Co of Great Britain Ltd,"Food, drink & tobacco industry",2904.122615,England
8841,Newport,329300,185700,International Rectifier Newport Ltd,Electrical engineering,2894.137533,Wales
8934,Runcorn,356200,379900,Diageo Great Britain Ltd,"Food, drink & tobacco industry",2893.144636,England
11736,Melton Mowbray,475500,319100,Mars Petcare UK Ltd,"Food, drink & tobacco industry",2892.032449,England
14214,Lancaster,348400,463750,Sofidel UK Ltd,"Paper, printing & publishing industries",2879.786163,England
14948,Riverdale Data Centre,538208,175601,CIB Properties Ltd,Commercial,2872.575935,England
9058,Stranraer,206300,559900,Caledonian Cheese Co Ltd,"Food, drink & tobacco industry",2871.458924,Scotland
8026,Delyn Mill,323600,373500,Kimberly-Clark Ltd,"Paper, printing & publishing industries",2837.632525,Wales
11111,Worksop,457377,380518,Premier Foods Group Ltd,"Food, drink & tobacco industry",2830.467851,England
40244,Tollcross Road Site,263364,663431,United Biscuits Ltd,"Food, drink & tobacco industry",2743.090909,Scotland
11490,Caledonian Brewery,260500,665200,InBev UK Ltd,"Food, drink & tobacco industry",2734.500382,Scotland
9714,Dailuaine Distillery,323266,841034,Diageo Distilling Ltd,"Food, drink & tobacco industry",2727.272727,Scotland
14355,Forest Gate,540520,184790,Hovis Ltd,"Food, drink & tobacco industry",2727.272727,England
9093,Gatwick,527500,140500,Gatwick Airport Ltd,Commercial,2727.272727,England
7751,Halesworth,640260,278910,Bernard Matthews Foods Ltd,"Food, drink & tobacco industry",2727.272727,England
12387,Hull,510730,432310,Greencore Grocery,"Food, drink & tobacco industry",2727.272727,England
40307,Kirkdale Palm Oil Refinery,333800,393400,New Britain Oils,"Food, drink & tobacco industry",2727.272727,England
12282,Kiveton,446710,383330,Hazlewood Convenience Group 1,"Food, drink & tobacco industry",2727.272727,England
7221,Lockerbie,310186,581210,Glanbia Foods Ltd,"Food, drink & tobacco industry",2727.272727,Scotland
10535,Lowestoft,655360,293850,Birds Eye Ltd,"Food, drink & tobacco industry",2727.272727,England
7594,Malton,480280,471400,Grampian Country Pork Ltd,"Food, drink & tobacco industry",2727.272727,England
7813,Old Leake,539794,354072,Fold Hill Foods Ltd,"Food, drink & tobacco industry",2727.272727,England
9298,White House Farm,366320,134730,Wyke Farmhouse Cheese Co Ltd,"Food, drink & tobacco industry",2727.272727,England
13437,Histon,543771,262981,Histon Sweet Spreads Ltd,"Food, drink & tobacco industry",2704.366541,England
11741,Bridgwater,330723,139413,Gerber Juice Co Ltd,"Food, drink & tobacco industry",2701.308824,England
